2025-07-17 18:18:36,013 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-17 18:18:36,015 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 00:07:36,161 - SupportBank - ERROR - File date/Transactions2013.json does not exist
2025-07-18 00:08:00,447 - SupportBank - ERROR - File src/Transactions2013.json does not exist
2025-07-18 10:08:22,697 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:08:22,699 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:08:49,461 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:08:49,463 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:15:02,071 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:15:02,074 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:16:12,281 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:16:12,283 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:16:59,438 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:16:59,439 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:17:14,698 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:17:14,701 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:17:34,777 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:17:34,780 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:17:44,627 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:17:44,628 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:18:05,849 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:18:05,852 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:18:22,991 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
